,y|acc,y|virus taxid,y|virus name,y|len,y|virus kingdom,y|virus phylum,y|virus class,y|virus order,y|virus family,y|virus genus,y|host taxid,y|host name,y|host kingdom,y|host phylum,y|host class,y|host order,y|host family,y|host genus,y|host superkingdom,y|L0,y|L1,y|L2,y|host leaves
MK581202.1,MK581202.1,11120,Infectious bronchitis virus,27875,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Gammacoronavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
MK581201.1,MK581201.1,11120,Infectious bronchitis virus,27640,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Gammacoronavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
MK907287.1,MK907287.1,2664184,Erinaceus hedgehog coronavirus HKU31,29951,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Betacoronavirus,[757341],['Erinaceus amurensis'],Metazoa,Chordata,Mammalia,Eulipotyphla,Erinaceidae,Erinaceus,Biota,Biota,Chordata,Other Mammalia,Other Mammalia
MN065811.1,MN065811.1,2419667,Bat alphacoronavirus,28119,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[109478],['Myotis brandtii'],Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Biota,Biota,Chordata,Chiroptera,Chiroptera
MN096598.1,MN096598.1,11120,Infectious bronchitis virus,27680,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Gammacoronavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
MN165107.1,MN165107.1,12663,Feline coronavirus,29286,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[9685],['Felis catus'],Metazoa,Chordata,Mammalia,Carnivora,Felidae,Felis,Biota,Biota,Chordata,Carnivora,Carnivora
MK211379.1,MK211379.1,2591238,Coronavirus BtRt-BetaCoV/GX2018,29752,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Betacoronavirus,[59477],['Rhinolophus affinis'],Metazoa,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,Biota,Biota,Chordata,Chiroptera,Chiroptera
MK211378.1,MK211378.1,2591237,Coronavirus BtRs-BetaCoV/YN2018D,30213,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Betacoronavirus,[59477],['Rhinolophus affinis'],Metazoa,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,Biota,Biota,Chordata,Chiroptera,Chiroptera
MK211374.1,MK211374.1,2591233,Coronavirus BtRl-BetaCoV/SC2018,29648,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Betacoronavirus,[49442],['Rhinolophus'],Metazoa,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,Biota,Biota,Chordata,Chiroptera,Chiroptera
MK211373.1,MK211373.1,2591232,Coronavirus BtRs-AlphaCoV/YN2018,29109,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[9400],['Cynopterus sphinx'],Metazoa,Chordata,Mammalia,Chiroptera,Pteropodidae,Cynopterus,Biota,Biota,Chordata,Chiroptera,Chiroptera
MK211369.1,MK211369.1,2591228,Coronavirus BtSk-AlphaCoV/GX2018A,28303,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[153297],['Scotophilus kuhlii'],Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Scotophilus,Biota,Biota,Chordata,Chiroptera,Chiroptera
MK720946.1,MK720946.1,2586419,Rhinolophus bat coronavirus HKU32,29201,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[89399],['Rhinolophus sinicus'],Metazoa,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,Biota,Biota,Chordata,Chiroptera,Chiroptera
MK720944.1,MK720944.1,2586420,Tylonycteris bat coronavirus HKU33,27636,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[526822],['Tylonycteris robustula'],Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Tylonycteris,Biota,Biota,Chordata,Chiroptera,Chiroptera
MH532440.1,MH532440.1,2249315,Quail deltacoronavirus,25881,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Deltacoronavirus,[93934],['Coturnix japonica'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Coturnix,Biota,Biota,Chordata,Aves,Aves
MH938450.1,MH938450.1,2492657,Alphacoronavirus Bat-CoV/P.kuhlii/Italy/206679-3/2010,28146,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[59472],['Pipistrellus kuhlii'],Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,Biota,Biota,Chordata,Chiroptera,Chiroptera
MH938448.1,MH938448.1,2492656,Alphacoronavirus Bat-CoV/P.kuhlii/Italy/206645-41/2011,27862,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[59472],['Pipistrellus kuhlii'],Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,Biota,Biota,Chordata,Chiroptera,Chiroptera
MH687969.1,MH687969.1,1928434,Betacoronavirus sp.,31352,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Betacoronavirus,[83752],['Rattus argentiventer'],Metazoa,Chordata,Mammalia,Rodentia,Muridae,Rattus,Biota,Biota,Chordata,Rodentia,Rodentia
MH687968.1,MH687968.1,1928434,Betacoronavirus sp.,31083,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Betacoronavirus,[83752],['Rattus argentiventer'],Metazoa,Chordata,Mammalia,Rodentia,Muridae,Rattus,Biota,Biota,Chordata,Rodentia,Rodentia
MH687967.1,MH687967.1,1906673,Alphacoronavirus sp.,27726,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[153297],['Scotophilus kuhlii'],Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Scotophilus,Biota,Biota,Chordata,Chiroptera,Chiroptera
MH687966.1,MH687966.1,1906673,Alphacoronavirus sp.,28389,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[153297],['Scotophilus kuhlii'],Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Scotophilus,Biota,Biota,Chordata,Chiroptera,Chiroptera
MH687962.1,MH687962.1,1906673,Alphacoronavirus sp.,27752,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[153297],['Scotophilus kuhlii'],Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Scotophilus,Biota,Biota,Chordata,Chiroptera,Chiroptera
MH687960.1,MH687960.1,1906673,Alphacoronavirus sp.,27303,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[153297],['Scotophilus kuhlii'],Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Scotophilus,Biota,Biota,Chordata,Chiroptera,Chiroptera
MH687958.1,MH687958.1,1906673,Alphacoronavirus sp.,28036,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[153297],['Scotophilus kuhlii'],Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Scotophilus,Biota,Biota,Chordata,Chiroptera,Chiroptera
MH687951.1,MH687951.1,1906673,Alphacoronavirus sp.,28313,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[153297],['Scotophilus kuhlii'],Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Scotophilus,Biota,Biota,Chordata,Chiroptera,Chiroptera
JF893452.2,JF893452.2,11120,Infectious bronchitis virus,27681,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Gammacoronavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
MG428704.1,MG428704.1,277944,Human coronavirus NL63,27832,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[9606],['Homo sapiens'],Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Biota,Biota,Chordata,Primates,Primates
MF094685.1,MF094685.1,2115988,Swine acute diarrhea syndrome related coronavirus,27200,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Unclassified,[49442],['Rhinolophus'],Metazoa,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,Biota,Biota,Chordata,Chiroptera,Chiroptera
MG762674.1,MG762674.1,694006,Rousettus bat coronavirus HKU9,29134,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Betacoronavirus,[9406],['Rousettus'],Metazoa,Chordata,Mammalia,Chiroptera,Pteropodidae,Rousettus,Biota,Biota,Chordata,Chiroptera,Chiroptera
MG334555.1,MG334555.1,28295,Porcine epidemic diarrhea virus,27438,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[9823],['Sus scrofa'],Metazoa,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Biota,Biota,Chordata,Artiodactyla,Artiodactyla
KX442564.1,KX442564.1,2020423,Hypsugo bat coronavirus HKU25,30498,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Betacoronavirus,[867834],['Hypsugo pulveratus'],Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Hypsugo,Biota,Biota,Chordata,Chiroptera,Chiroptera
MG596802.1,MG596802.1,1335626,Middle East respiratory syndrome-related coronavirus,30048,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Betacoronavirus,[109485],['Hypsugo savii'],Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Hypsugo,Biota,Biota,Chordata,Chiroptera,Chiroptera
KX722531.1,KX722531.1,12663,Feline coronavirus,29042,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[9685],['Felis catus'],Metazoa,Chordata,Mammalia,Carnivora,Felidae,Felis,Biota,Biota,Chordata,Carnivora,Carnivora
KX722530.1,KX722530.1,12663,Feline coronavirus,28595,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[9685],['Felis catus'],Metazoa,Chordata,Mammalia,Carnivora,Felidae,Felis,Biota,Biota,Chordata,Carnivora,Carnivora
KY566209.1,KY566209.1,12663,Feline coronavirus,29440,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[9685],['Felis catus'],Metazoa,Chordata,Mammalia,Carnivora,Felidae,Felis,Biota,Biota,Chordata,Carnivora,Carnivora
MF598642.1,MF598642.1,1335626,Middle East respiratory syndrome-related coronavirus,30123,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Betacoronavirus,[9838],['Camelus dromedarius'],Metazoa,Chordata,Mammalia,Artiodactyla,Camelidae,Camelus,Biota,Biota,Chordata,Artiodactyla,Artiodactyla
MF618253.1,MF618253.1,11138,Murine hepatitis virus,29893,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Betacoronavirus,[10066],['Muridae'],Metazoa,Chordata,Mammalia,Rodentia,Muridae,Unclassified,Biota,Biota,Chordata,Rodentia,Rodentia
MF618252.1,MF618252.1,11138,Murine hepatitis virus,29947,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Betacoronavirus,[10066],['Muridae'],Metazoa,Chordata,Mammalia,Rodentia,Muridae,Unclassified,Biota,Biota,Chordata,Rodentia,Rodentia
KY799179.1,KY799179.1,2020507,Myotis lucifugus coronavirus,28173,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[59463],['Myotis lucifugus'],Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Biota,Biota,Chordata,Chiroptera,Chiroptera
MF421319.1,MF421319.1,11120,Infectious bronchitis virus,27647,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Gammacoronavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
KJ473799.1,KJ473799.1,1503279,BtMf-AlphaCoV/FJ2012,28765,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[187007],['Miniopterus fuliginosus'],Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Miniopterus,Biota,Biota,Chordata,Chiroptera,Chiroptera
KJ473797.1,KJ473797.1,1503280,BtMf-AlphaCoV/GD2012,28758,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[187007],['Miniopterus fuliginosus'],Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Miniopterus,Biota,Biota,Chordata,Chiroptera,Chiroptera
KY063617.1,KY063617.1,11153,Canine coronavirus,29264,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[9615],['Canis lupus familiaris'],Metazoa,Chordata,Mammalia,Carnivora,Canidae,Canis,Biota,Biota,Chordata,Carnivora,Carnivora
KX364296.1,KX364296.1,11120,Infectious bronchitis virus,27655,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Gammacoronavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
KY073748.1,KY073748.1,1739614,229E-related bat coronavirus,27636,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[2603869],['Hipposideros vittatus'],Metazoa,Chordata,Mammalia,Chiroptera,Hipposideridae,Macronycteris,Biota,Biota,Chordata,Chiroptera,Chiroptera
KY073747.1,KY073747.1,1739614,229E-related bat coronavirus,27837,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[58068],['Hipposideros'],Metazoa,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Biota,Biota,Chordata,Chiroptera,Chiroptera
KX302866.1,KX302866.1,11120,Infectious bronchitis virus,27714,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Gammacoronavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
KX236005.1,KX236005.1,11120,Infectious bronchitis virus,27657,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Gammacoronavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
KX236001.1,KX236001.1,11120,Infectious bronchitis virus,27631,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Gammacoronavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
KX185057.1,KX185057.1,11120,Infectious bronchitis virus,27802,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Gammacoronavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
KU182965.1,KU182965.1,1508220,Bat coronavirus,30321,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Unclassified,[98922],['Myotis daubentonii'],Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Biota,Biota,Chordata,Chiroptera,Chiroptera
KR608272.1,KR608272.1,11120,Infectious bronchitis virus,27681,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Gammacoronavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
KU215427.1,KU215427.1,12663,Feline coronavirus,29238,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[9685],['Felis catus'],Metazoa,Chordata,Mammalia,Carnivora,Felidae,Felis,Biota,Biota,Chordata,Carnivora,Carnivora
KT368905.1,KT368905.1,1699095,Camel alphacoronavirus,27397,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[9836],['Camelus'],Metazoa,Chordata,Mammalia,Artiodactyla,Camelidae,Camelus,Biota,Biota,Chordata,Artiodactyla,Artiodactyla
KP868573.1,KP868573.1,11120,Infectious bronchitis virus,27601,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Gammacoronavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
KP868572.1,KP868572.1,11120,Infectious bronchitis virus,27452,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Gammacoronavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
KR270796.1,KR270796.1,11146,Porcine respiratory coronavirus,27765,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[9823],['Sus scrofa'],Metazoa,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Biota,Biota,Chordata,Artiodactyla,Artiodactyla
KP662631.1,KP662631.1,11120,Infectious bronchitis virus,27388,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Gammacoronavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
KP981644.1,KP981644.1,11153,Canine coronavirus,29278,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[9615],['Canis lupus familiaris'],Metazoa,Chordata,Mammalia,Carnivora,Canidae,Canis,Biota,Biota,Chordata,Carnivora,Carnivora
KF686343.1,KF686343.1,290028,Human coronavirus HKU1,29983,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Betacoronavirus,[9606],['Homo sapiens'],Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Biota,Biota,Chordata,Primates,Primates
JN856008.2,JN856008.2,11153,Canine coronavirus,29271,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[9615],['Canis lupus familiaris'],Metazoa,Chordata,Mammalia,Carnivora,Canidae,Canis,Biota,Biota,Chordata,Carnivora,Carnivora
KM213963.1,KM213963.1,11120,Infectious bronchitis virus,27714,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Gammacoronavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
KP118894.1,KP118894.1,11120,Infectious bronchitis virus,27685,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Gammacoronavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
KP143507.1,KP143507.1,12663,Feline coronavirus,28984,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[9685],['Felis catus'],Metazoa,Chordata,Mammalia,Carnivora,Felidae,Felis,Biota,Biota,Chordata,Carnivora,Carnivora
KC545386.1,KC545386.1,1385427,Betacoronavirus Erinaceus/VMC/DEU/2012,30175,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Betacoronavirus,[9365],['Erinaceus europaeus'],Metazoa,Chordata,Mammalia,Eulipotyphla,Erinaceidae,Erinaceus,Biota,Biota,Chordata,Other Mammalia,Other Mammalia
JQ088078.1,JQ088078.1,11120,Infectious bronchitis virus,27664,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Gammacoronavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
JQ408980.1,JQ408980.1,12663,Feline coronavirus,29363,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[9685],['Felis catus'],Metazoa,Chordata,Mammalia,Carnivora,Felidae,Felis,Biota,Biota,Chordata,Carnivora,Carnivora
JN874562.1,JN874562.1,1160968,Rabbit coronavirus HKU14,30904,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Betacoronavirus,[9986],['Oryctolagus cuniculus'],Metazoa,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,Biota,Biota,Chordata,Other Mammalia,Other Mammalia
JN874560.1,JN874560.1,1160968,Rabbit coronavirus HKU14,31116,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Betacoronavirus,[9986],['Oryctolagus cuniculus'],Metazoa,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,Biota,Biota,Chordata,Other Mammalia,Other Mammalia
JQ404409.1,JQ404409.1,11153,Canine coronavirus,29462,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[9615],['Canis lupus familiaris'],Metazoa,Chordata,Mammalia,Carnivora,Canidae,Canis,Biota,Biota,Chordata,Carnivora,Carnivora
GQ504722.1,GQ504722.1,11120,Infectious bronchitis virus,27648,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Gammacoronavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
GQ152141.1,GQ152141.1,12663,Feline coronavirus,28897,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[9685],['Felis catus'],Metazoa,Chordata,Mammalia,Carnivora,Felidae,Felis,Biota,Biota,Chordata,Carnivora,Carnivora
GU393332.1,GU393332.1,11120,Infectious bronchitis virus,27591,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Gammacoronavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
FJ904716.1,FJ904716.1,11120,Infectious bronchitis virus,27629,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Gammacoronavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
FJ904715.1,FJ904715.1,11120,Infectious bronchitis virus,27615,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Gammacoronavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
FJ904714.1,FJ904714.1,11120,Infectious bronchitis virus,27664,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Gammacoronavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
HQ012370.1,HQ012370.1,871681,Feline coronavirus UU24,29266,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[9681],['Felidae'],Metazoa,Chordata,Mammalia,Carnivora,Felidae,Unclassified,Biota,Biota,Chordata,Carnivora,Carnivora
HQ012369.1,HQ012369.1,871680,Feline coronavirus UU21,28429,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[9681],['Felidae'],Metazoa,Chordata,Mammalia,Carnivora,Felidae,Unclassified,Biota,Biota,Chordata,Carnivora,Carnivora
HQ012367.1,HQ012367.1,871678,Feline coronavirus UU17,29202,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[9681],['Felidae'],Metazoa,Chordata,Mammalia,Carnivora,Felidae,Unclassified,Biota,Biota,Chordata,Carnivora,Carnivora
GQ477367.1,GQ477367.1,11153,Canine coronavirus,29363,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[9615],['Canis lupus familiaris'],Metazoa,Chordata,Mammalia,Carnivora,Canidae,Canis,Biota,Biota,Chordata,Carnivora,Carnivora
AJ889866.1,AJ889866.1,122280,Potato virus Y strain NTN,9697,Orthornavirae,Pisuviricota,Stelpaviricetes,Patatavirales,Potyviridae,Potyvirus,[4113],['Solanum tuberosum'],Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Biota,Biota,Viridiplantae,,Viridiplantae
AM157175.1,AM157175.1,31738,Plum pox virus strain El Amar,9791,Orthornavirae,Pisuviricota,Stelpaviricetes,Patatavirales,Potyviridae,Potyvirus,"[114937, 88123, 3760, 105665, 3758, 36595, 36596]","['Prunus spinosa', 'Prunus salicina', 'Prunus persica', 'Prunus glandulosa', 'Prunus domestica', 'Prunus cerasifera', 'Prunus armeniaca']",Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Biota,Biota,Viridiplantae,,Viridiplantae
AY010722.1,AY010722.1,12207,Papaya ringspot virus W,10323,Orthornavirae,Pisuviricota,Stelpaviricetes,Patatavirales,Potyviridae,Potyvirus,"[3673, 3663, 3654]","['Momordica charantia', 'Cucurbita pepo', 'Citrullus lanatus']",Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
AY575773.1,AY575773.1,29276,Bean common mosaic virus strain Blackeye,9992,Orthornavirae,Pisuviricota,Stelpaviricetes,Patatavirales,Potyviridae,Potyvirus,[138955],['Vigna unguiculata subsp. sesquipedalis'],Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Vigna,Biota,Biota,Viridiplantae,,Viridiplantae
DQ851494.1,DQ851494.1,400395,Peace lily mosaic virus,9882,Orthornavirae,Pisuviricota,Stelpaviricetes,Patatavirales,Potyviridae,Potyvirus,[258322],['Spathiphyllum patinii'],Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Spathiphyllum,Biota,Biota,Viridiplantae,,Viridiplantae
EF017707.1,EF017707.1,12206,Papaya ringspot virus P,10317,Orthornavirae,Pisuviricota,Stelpaviricetes,Patatavirales,Potyviridae,Potyvirus,[3649],['Carica papaya'],Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Caricaceae,Carica,Biota,Biota,Viridiplantae,,Viridiplantae
